Recipient Type,Recipient Currently in Office?,Recipient Title,Recipient Name,Recipient District,Recipient Party,"Total Police $ Rec'd, 2016-2020",Recipient Email,Recipient Twitter Handle,Response,Money Reclaimed,MN Police & Peace Officers Assoc Leg Fund,MN Police Fraternal Association,Police Officers Alliance of MN Pol Action Fund,Police Officers Fed of Mpls,Police Officers Fed of Mpls Contingency Fund,St Paul Police Federation Political Awareness Fund,St Paul Police Federation Political Awareness Fund
Political Campaign Cmte (PCC),Current,MN Governor,Tim Walz,State,D,"$2,000",,@GovTimWalz,,,,,2000,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Andrew Carlson,50B,D,"$2,250",rep.andrew.carlson@house.mn,@AndrewCarlsonMN,,,,2000,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Ben Lien,04A,D,"$1,000",rep.ben.lien@house.mn,none,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Bob Dettmer,39A,R,"$1,000",rep.bob.dettmer@house.mn,@RepBobDettmer,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Brian Johnson,32A,R,"$1,000",rep.brian.johnson@house.mn,@RepJohnsonMN,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Carlos Mariani,65B,D,$250,rep.carlos.mariani@house.mn,@Cmarianirosa,https://docs.google.com/document/d/1qQ-mW1_ziaF0Dmrr5XgaBgqVLZyxE9J-2bR8mcm_Biw/edit?ts=5ed6bb81,$500,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Cheryl Youakim,46B,D,"$1,000",rep.cheryl.youakim@house.mn,@CLYouakim,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Connie Bernardy,41A,D,$250,rep.connie.bernardy@house.mn,@conniebernardy,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Dave Pinto,64B,D,$250,rep.dave.pinto@house.mn,@davepinto,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Duane Sauke,25B,D,"$2,000",rep.duane.sauke@house.mn,@duanesauke,,,,2000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Erin Koegel,37A,D,"$1,000",rep.erin.koegel@house.mn,@ErinKoegel,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Gene Pelowski Jr.,28A,D,"$1,250",rep.gene.pelowski@house.mn,@GenePelowski,,,,1000,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Jeanne Poppe,27B,D,"$1,250",rep.jeanne.poppe@house.mn,@RepPoppe,,,,1000,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Jeff Brand,19A,D,"$1,000",rep.jeff.brand@house.mn,@ClarkJohnsonMN,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Jennifer Schultz,07A,D,"$1,250",rep.jennifer.schultz@house.mn,@RepJenSchultz,,,,1000,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Jerry Hertaus,33A,R,"$1,000",rep.jerry.hertaus@house.mn,@RepJerryHertaus,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Joe McDonald,29A,R,"$1,000",rep.joe.mcdonald@house.mn,@joemacphoto,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,John Considine Jr.,19B,D,$250,rep.jack.considine@house.mn,@jackconsidineMN,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,John Lesch,66B,D,$250,rep.john.lesch@house.mn,@johnlesch,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,John Persell,05A,D,$250,rep.john.persell@house.mn,none,,,,,,250,,,
Political Campaign Cmte (PCC),Current,MN House Member,Julie Sandstede,06A,D,$750,rep.julie.sandstede@house.mn,@JulieSandstede,,,,,,,,750,
Political Campaign Cmte (PCC),Current,MN House Member,Laurie Halverson,51B,D,$250,rep.laurie.halverson@house.mn,@LaurieHalverson,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Lyndon Carlson Sr.,45A,D,"$1,500",rep.lyndon.carlson@house.mn,@RepCarlson,,,,1000,,,,500,
Political Campaign Cmte (PCC),Current,MN House Member,Marion O'Neill,29B,R,"$1,000",rep.marion.oneill@house.mn,@MarionONeill1,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Mary Murphy,03B,D,"$1,250",rep.mary.murphy@house.mn,none,,,,1000,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Matt Grossell,02A,R,"$2,000",rep.matt.grossell@house.mn,none,,,,2000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Melissa Hortman,36B,D,$250,rep.melissa.hortman@house.mn,@melissahortman,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Michael V. Nelson,40A,D,"$1,250",rep.michael.nelson@house.mn,none,,,,1000,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Mike Sundin,11A,D,$250,rep.mike.sundin@house.mn,none,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Patty Acomb,44B,D,"$1,000",rep.patty.acomb@house.mn,@PattyAcomb,https://www.facebook.com/StateRepresentativePattyAcomb/posts/2537600963170261?__tn__=-R,"$2,000",,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Paul Marquart,04B,D,"$2,250",rep.paul.marquart@house.mn,@reppaulmarquart,,,,2000,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Paul Novotny,30A,R,"$1,000",rep.paul.novotny@house.mn,@NickZerwas,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Rob Ecklund,03A,D,$250,rep.rob.ecklund@house.mn,@RobEcklund,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN House Member,Steve Elkins,49B,D,"$1,000",rep.steve.elkins@house.mn,@ElkinsForHouse,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Tim Mahoney,67A,D,$250,rep.tim.mahoney@house.mn,@TimMahoney67A,,,,,,250,,,
Political Campaign Cmte (PCC),Current,MN House Member,Tim O'Driscoll,13B,R,"$1,000",rep.tim.odriscoll@house.mn,none,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Tony Jurgens,54B,R,"$1,000",rep.tony.jurgens@house.mn,@TonyJurgensMN,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN House Member,Zack Stephenson,36A,D,"$2,250",rep.zack.stephenson@house.mn,@zackstephenson,,,,2000,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Andrew R. Lang,17,R,$250,sd17iq@mnsenate.lmhostediq.com,@SenatorLangMN,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Ann H. Rest,45,D,$300,sd45iq@mnsenate.lmhostediq.com,@SenatorAnn,,,,,,,,300,
Political Campaign Cmte (PCC),Current,MN Senate Member,Bill Ingebrigtsen,08,R,$250,sen.bill.ingebrigtsen@senate.mn,@sen_inge,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Bill Weber,22,R,$250,sen.bill.weber@senate.mn,@SenatorWeber,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Bruce D. Anderson,29,R,$250,sen.bruce.anderson@senate.mn,none,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Carla J. Nelson,26,R,$250,sd26iq@mnsenate.lmhostediq.com,@CarlaNelsonMN,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Charles W. Wiger,43,D,$300,sd43iq@mnsenate.lmhostediq.com,@ChuckWiger,,,,,,,,300,
Political Campaign Cmte (PCC),Current,MN Senate Member,Dan D. Hall,56,R,$250,sd56iq@mnsenate.lmhostediq.com,@SenatorDanHall,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Dan Sparks,27,D,$300,sen.dan.sparks@senate.mn,none,,,,,,,,300,
Political Campaign Cmte (PCC),Current,MN Senate Member,David H. Senjem,25,R,$250,sen.david.senjem@senate.mn,@DSenjem,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,David J. Tomassoni,06,D,$300,sd06iq@mnsenate.lmhostediq.com,@Ranuccio11,,,,,,,,300,
Political Campaign Cmte (PCC),Current,MN Senate Member,Eric R. Pratt,55,R,$250,sen.eric.pratt@senate.mn,@EricPrattMN,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Erik Simonson,07,D,$550,sen.erik.simonson@senate.mn,@ErikSimonson,,,,,,,,550,
Political Campaign Cmte (PCC),Current,MN Senate Member,Gary H. Dahms,16,R,$250,sen.gary.dahms@senate.mn,@sendahms,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Gregory D. Clausen,57,D,$300,sd57iq@mnsenate.lmhostediq.com,@SenGregClausen,,,,,,,,300,
Political Campaign Cmte (PCC),Current,MN Senate Member,Jason Isaacson,42,D,$300,sd42iq@mnsenate.lmhostediq.com,@jasondisaacson,,,,,,,,300,
